id,name,gender,movie_id,title,order
13726.0,Ned Beatty,2.0,10193,Toy Story 3,2
3894.0,Christian Bale,2.0,534,Terminator Salvation,0
65731.0,Sam Worthington,2.0,534,Terminator Salvation,1
21028.0,Anton Yelchin,2.0,534,Terminator Salvation,2
12835.0,Vin Diesel,2.0,168259,Furious 7,0
8167.0,Paul Walker,2.0,168259,Furious 7,1
18918.0,Dwayne Johnson,2.0,168259,Furious 7,2
287.0,Brad Pitt,2.0,72190,World War Z,0
175826.0,Mireille Enos,1.0,72190,World War Z,1
1027850.0,Abigail Hargrove,1.0,72190,World War Z,2
6968.0,Hugh Jackman,2.0,127585,X-Men: Days of Future Past,0
5530.0,James McAvoy,2.0,127585,X-Men: Days of Future Past,1
17288.0,Michael Fassbender,2.0,127585,X-Men: Days of Future Past,2
62064.0,Chris Pine,2.0,54138,Star Trek Into Darkness,0
17306.0,Zachary Quinto,2.0,54138,Star Trek Into Darkness,1
8691.0,Zoe Saldana,1.0,54138,Star Trek Into Darkness,2
3292.0,Nicholas Hoult,2.0,81005,Jack the Giant Slayer,0
73357.0,Eleanor Tomlinson,1.0,81005,Jack the Giant Slayer,1
3061.0,Ewan McGregor,2.0,81005,Jack the Giant Slayer,2
6193.0,Leonardo DiCaprio,2.0,64682,The Great Gatsby,0
2219.0,Tobey Maguire,2.0,64682,The Great Gatsby,1
36662.0,Carey Mulligan,1.0,64682,The Great Gatsby,2
131.0,Jake Gyllenhaal,2.0,9543,Prince of Persia: The Sands of Time,0
59620.0,Gemma Arterton,1.0,9543,Prince of Persia: The Sands of Time,1
2282.0,Ben Kingsley,2.0,9543,Prince of Persia: The Sands of Time,2
17605.0,Idris Elba,2.0,68726,Pacific Rim,0
56365.0,Charlie Hunnam,2.0,68726,Pacific Rim,1
95101.0,Charlie Day,2.0,68726,Pacific Rim,2
10959.0,Shia LaBeouf,2.0,38356,Transformers: Dark of the Moon,0
6949.0,John Malkovich,2.0,38356,Transformers: Dark of the Moon,1
83586.0,Ken Jeong,2.0,38356,Transformers: Dark of the Moon,2
3.0,Harrison Ford,2.0,217,Indiana Jones and the Kingdom of the Crystal Skull,0
112.0,Cate Blanchett,1.0,217,Indiana Jones and the Kingdom of the Crystal Skull,1
10959.0,Shia LaBeouf,2.0,217,Indiana Jones and the Kingdom of the Crystal Skull,2
963134.0,Raymond Ochoa,0.0,105864,The Good Dinosaur,0
1476748.0,Jack Bright,0.0,105864,The Good Dinosaur,1
2954.0,Jeffrey Wright,2.0,105864,The Good Dinosaur,2
9015.0,Kelly Macdonald,1.0,62177,Brave,0
477.0,Julie Walters,1.0,62177,Brave,1
9188.0,Billy Connolly,0.0,62177,Brave,2
62064.0,Chris Pine,2.0,188927,Star Trek Beyond,0
17306.0,Zachary Quinto,2.0,188927,Star Trek Beyond,1
1372.0,Karl Urban,2.0,188927,Star Trek Beyond,2
670.0,Ben Burtt,2.0,10681,WALL·E,0
72754.0,Elissa Knight,0.0,10681,WALL·E,1
60074.0,Jeff Garlin,2.0,10681,WALL·E,2
66.0,Chris Tucker,2.0,5174,Rush Hour 3,0
18897.0,Jackie Chan,2.0,5174,Rush Hour 3,1
9195.0,Hiroyuki Sanada,0.0,5174,Rush Hour 3,2
3036.0,John Cusack,2.0,14161,2012,0
2956.0,Amanda Peet,1.0,14161,2012,1
5294.0,Chiwetel Ejiofor,2.0,14161,2012,2
64.0,Gary Oldman,2.0,17979,A Christmas Carol,0
206.0,Jim Carrey,2.0,17979,A Christmas Carol,1
78311.0,Steve Valentine,2.0,17979,A Christmas Carol,2
18973.0,Mila Kunis,1.0,76757,Jupiter Ascending,0
38673.0,Channing Tatum,2.0,76757,Jupiter Ascending,1
48.0,Sean Bean,2.0,76757,Jupiter Ascending,2
28846.0,Alexander Skarsgård,2.0,258489,The Legend of Tarzan,0
234352.0,Margot Robbie,1.0,258489,The Legend of Tarzan,1
27319.0,Christoph Waltz,2.0,258489,The Legend of Tarzan,2
5528.0,William Moseley,2.0,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0
5529.0,Anna Popplewell,1.0,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1
5527.0,Skandar Keynes,2.0,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2
5530.0,James McAvoy,2.0,246655,X-Men: Apocalypse,0
17288.0,Michael Fassbender,2.0,246655,X-Men: Apocalypse,1
72129.0,Jennifer Lawrence,1.0,246655,X-Men: Apocalypse,2
3894.0,Christian Bale,2.0,155,The Dark Knight,0
1810.0,Heath Ledger,2.0,155,The Dark Knight,1
6383.0,Aaron Eckhart,2.0,155,The Dark Knight,2
68812.0,Ed Asner,2.0,14160,Up,0
290.0,Christopher Plummer,2.0,14160,Up,1
80676.0,Jordan Nagai,2.0,14160,Up,2
19274.0,Seth Rogen,2.0,15512,Monsters vs Aliens,0
368.0,Reese Witherspoon,1.0,15512,Monsters vs Aliens,1
41419.0,Hugh Laurie,2.0,15512,Monsters vs Aliens,2
3223.0,Robert Downey Jr.,2.0,1726,Iron Man,0
18288.0,Terrence Howard,2.0,1726,Iron Man,1
1229.0,Jeff Bridges,2.0,1726,Iron Man,2
2282.0,Ben Kingsley,2.0,44826,Hugo,0
6730.0,Sacha Baron Cohen,2.0,44826,Hugo,1
77996.0,Asa Butterfield,2.0,44826,Hugo,2
2888.0,Will Smith,2.0,8487,Wild Wild West,0
8945.0,Kevin Kline,2.0,8487,Wild Wild West,1
